 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 1.54973e-01 | 6.66682e-01   6.66682e-01   6.66687e-01 | 5.35536e-05 | 0.00000e+00 | 5.24386e-01 | 4.84591e-17 | 2.06057e+00
  2 | 1.99927e-01 | 1.93763e-05   1.93763e-05   1.27694e-05 | 5.15221e-05 | 0.00000e+00 | 2.36130e-01 | 4.67101e-17 | 1.29741e+00
  3 | 7.12732e-05 | 1.27852e-05   1.27852e-05   2.23575e-05 | 4.79279e-05 | 0.00000e+00 | 2.24237e-04 | 5.08033e-17 | 5.99163e-05
  4 | 6.84588e-05 | 2.08893e-05   2.08893e-05   7.03946e-06 | 4.88181e-05 | 0.00000e+00 | 2.15768e-04 | 4.51105e-17 | 4.56103e-05
  5 | 6.93532e-05 | 9.59225e-06   9.59225e-06   2.96676e-05 | 4.88521e-05 | 0.00000e+00 | 2.18829e-04 | 4.44159e-17 | 5.09665e-05
  6 | 6.94284e-05 | 2.59825e-05   2.59825e-05   3.06946e-06 | 4.88957e-05 | 0.00000e+00 | 2.19631e-04 | 4.43523e-17 | 5.14667e-05
  7 | 6.94213e-05 | 2.25300e-06   2.25300e-06   4.43891e-05 | 4.88951e-05 | 0.00000e+00 | 2.20710e-04 | 4.49183e-17 | 5.17508e-05
  8 | 6.95323e-05 | 3.66388e-05   3.66388e-05   2.43778e-05 | 4.88998e-05 | 0.00000e+00 | 2.23128e-04 | 4.54198e-17 | 5.15661e-05
  9 | 6.93041e-05 | 1.32293e-05   1.32293e-05   7.53635e-05 | 4.89051e-05 | 0.00000e+00 | 2.26035e-04 | 5.13983e-17 | 5.17917e-05
 10 | 6.98168e-05 | 5.91316e-05   5.91316e-05   6.93454e-05 | 4.89179e-05 | 0.00000e+00 | 2.33590e-04 | 3.49481e-17 | 5.09461e-05
 11 | 6.87735e-05 | 4.60013e-05   4.60013e-05   1.40944e-04 | 4.89417e-05 | 0.00000e+00 | 2.39782e-04 | 3.82893e-17 | 5.19081e-05
