 it |         mu |                G(beta/2) per orbital |                    orbital occs down | impurity occ down |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |   13.28366 |   -0.12718     -0.12718     -0.12719 |    0.66667      0.66667      0.66666 |           2.00000 |    0.00000 |    0.00000      0.00000      0.00000      0.00000
  1 |   13.43863 |   -0.04697     -0.04697     -0.04697 |    0.33332      0.33332      0.33331 |           0.99995 |    2.06057 |    0.00000      0.36465     16.09548     14.39957
  2 |   13.23870 |   -0.04695     -0.04695     -0.04696 |    0.33334      0.33334      0.33333 |           1.00000 |    0.76316 |    0.00000      0.36284     14.80033     14.40001
  3 |   13.23863 |   -0.04696     -0.04696     -0.04698 |    0.33332      0.33332      0.33330 |           0.99995 |    0.76310 |    0.00000      0.36344     14.79926     14.39960
  4 |   13.23870 |   -0.04695     -0.04695     -0.04697 |    0.33335      0.33335      0.33331 |           1.00000 |    0.76315 |    0.00000      0.36284     14.80032     14.40001
  5 |   13.23863 |   -0.04695     -0.04695     -0.04699 |    0.33334      0.33334      0.33328 |           0.99995 |    0.76309 |    0.00000      0.36344     14.79925     14.39960
  6 |   13.23870 |   -0.04694     -0.04694     -0.04699 |    0.33336      0.33336      0.33328 |           1.00000 |    0.76315 |    0.00000      0.36284     14.80032     14.40001
  7 |   13.23863 |   -0.04694     -0.04694     -0.04702 |    0.33336      0.33336      0.33323 |           0.99995 |    0.76309 |    0.00000      0.36344     14.79925     14.39960
  8 |   13.23870 |   -0.04692     -0.04692     -0.04704 |    0.33340      0.33340      0.33321 |           1.00000 |    0.76315 |    0.00000      0.36284     14.80032     14.40001
  9 |   13.23863 |   -0.04691     -0.04691     -0.04708 |    0.33341      0.33341      0.33313 |           0.99995 |    0.76309 |    0.00000      0.36344     14.79925     14.39960
 10 |   13.23870 |   -0.04687     -0.04687     -0.04713 |    0.33347      0.33347      0.33306 |           1.00000 |    0.76314 |    0.00000      0.36284     14.80032     14.40001
 11 |   13.23863 |   -0.04684     -0.04684     -0.04722 |    0.33351      0.33351      0.33292 |           0.99995 |    0.76309 |    0.00000      0.36344     14.79925     14.39960
