 it |         mu |                G(beta/2) per orbital |                      orbital occs up |   impurity occ up |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |   13.28366 |   -0.12718     -0.12718     -0.12719 |    0.66667      0.66667      0.66666 |           2.00000 |    0.00000 |    0.00000      0.00000      0.00000      0.00000
  1 |   13.43863 |   -0.00000     -0.00000     -0.00000 |    1.00000      1.00000      1.00000 |           3.00000 |    2.06057 |    0.00000      0.36465     16.09548     14.39957
  2 |   13.23870 |   -0.00000     -0.00000     -0.00000 |    1.00000      1.00000      1.00000 |           3.00000 |    0.76316 |    0.00000      0.36284     14.80033     14.40001
  3 |   13.23863 |   -0.00000     -0.00000     -0.00000 |    1.00000      1.00000      1.00000 |           3.00000 |    0.76310 |    0.00000      0.36344     14.79926     14.39960
  4 |   13.23870 |   -0.00000     -0.00000     -0.00000 |    1.00000      1.00000      1.00000 |           3.00000 |    0.76315 |    0.00000      0.36284     14.80032     14.40001
  5 |   13.23863 |   -0.00000     -0.00000     -0.00000 |    1.00000      1.00000      1.00000 |           3.00000 |    0.76309 |    0.00000      0.36344     14.79925     14.39960
  6 |   13.23870 |   -0.00000     -0.00000     -0.00000 |    1.00000      1.00000      1.00000 |           3.00000 |    0.76315 |    0.00000      0.36284     14.80032     14.40001
  7 |   13.23863 |   -0.00000     -0.00000     -0.00000 |    1.00000      1.00000      1.00000 |           3.00000 |    0.76309 |    0.00000      0.36344     14.79925     14.39960
  8 |   13.23870 |   -0.00000     -0.00000     -0.00000 |    1.00000      1.00000      1.00000 |           3.00000 |    0.76315 |    0.00000      0.36284     14.80032     14.40001
  9 |   13.23863 |   -0.00000     -0.00000     -0.00000 |    1.00000      1.00000      1.00000 |           3.00000 |    0.76309 |    0.00000      0.36344     14.79925     14.39960
 10 |   13.23870 |   -0.00000     -0.00000     -0.00000 |    1.00000      1.00000      1.00000 |           3.00000 |    0.76314 |    0.00000      0.36284     14.80032     14.40001
 11 |   13.23863 |   -0.00000     -0.00000     -0.00000 |    1.00000      1.00000      1.00000 |           3.00000 |    0.76309 |    0.00000      0.36344     14.79925     14.39960
